academic_year,tcas_round_code,tcas_round_name,project_id,fac_id,fac_name,major_id,major_name,major_type,application_choices,unique_applicants,confirmed_unique_applicants,applicant_status_1_rows,applicant_status_2_rows,applicant_status_3_rows,avg_score,min_score,max_score,avg_priority,min_priority,max_priority,applicant_rows,selected_rows,excluded_second_processing_rows,selected_in_better_choice_rows,confirmed_elsewhere_rows,confirmed_rows,surrendered_rows,round2_surrendered_rows,rejected_rows,no_action_rows,not_used_rows
2569,TCAS2,Quota,B2500,E,วิศวกรรมศาสตร์ กำแพงแสน,E38,วิศวกรรมโยธา-โครงสร้างพื้นฐาน,ภาคปกติ,158,158,9,0,18,140,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,9,0,0,140,2,3
2569,TCAS2,Quota,B2500,E,วิศวกรรมศาสตร์ กำแพงแสน,E38,วิศวกรรมโยธา-โครงสร้างพื้นฐาน (ภาคพิเศษ),ภาคพิเศษ,14,14,6,0,7,7,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,6,0,0,7,0,0
2569,TCAS2,Quota,B2500,E,วิศวกรรมศาสตร์ กำแพงแสน,E39,วิศวกรรมนวัตกรรมเพื่อการเกษตรและอุตสาหกรรม,ภาคปกติ,9,9,3,0,4,5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,5,0,1
2569,TCAS3,Admission,C2800,E,วิศวกรรมศาสตร์ กำแพงแสน,E03,วิศวกรรมเครื่องกล,ภาคปกติ,357,357,34,0,35,322,35.5185,20.2528,46.8663,5.4118,1,10,0,0,0,184,0,34,1,0,138,0,0
2569,TCAS3,Admission,C2800,E,วิศวกรรมศาสตร์ กำแพงแสน,E03,วิศวกรรมเครื่องกล (ภาคพิเศษ),ภาคพิเศษ,214,214,25,0,31,183,33.1081,21.1835,45.5809,5.7056,1,10,0,0,1,108,0,25,5,0,75,0,0
2569,TCAS3,Admission,C2800,E,วิศวกรรมศาสตร์ กำแพงแสน,E04,วิศวกรรมโยธา-ชลประทาน,ภาคปกติ,243,243,19,0,21,222,47.2472,27.1628,65.0688,4.2634,1,10,0,0,0,110,0,19,1,0,112,0,1
2569,TCAS3,Admission,C2800,E,วิศวกรรมศาสตร์ กำแพงแสน,E24,วิศวกรรมอุตสาหการ-โลจิสติกส์,ภาคปกติ,400,400,22,0,27,373,35.9961,23.1392,65.5468,5.2675,1,10,0,0,0,205,0,22,3,0,168,1,1
2569,TCAS3,Admission,C2800,E,วิศวกรรมศาสตร์ กำแพงแสน,E29,วิศวกรรมคอมพิวเตอร์,ภาคปกติ,333,333,48,0,53,280,40.0213,20.5046,76.0864,4.6306,1,10,0,0,0,173,0,48,3,0,107,0,2
2569,TCAS3,Admission,C2800,E,วิศวกรรมศาสตร์ กำแพงแสน,E36,วิศวกรรมอาหาร,ภาคปกติ,174,174,31,0,33,141,33.6946,24.3254,56.8664,5.8161,1,10,0,0,0,111,0,31,1,0,30,1,0
2569,TCAS3,Admission,C2800,E,วิศวกรรมศาสตร์ กำแพงแสน,E37,วิศวกรรมเครื่องกล-เกษตร,ภาคปกติ,65,65,28,0,29,36,30.2993,20.6365,40.0817,4.8769,1,10,0,0,0,25,0,28,1,0,11,0,0
2569,TCAS3,Admission,C2800,E,วิศวกรรมศาสตร์ กำแพงแสน,E38,วิศวกรรมโยธา-โครงสร้างพื้นฐาน,ภาคปกติ,331,331,37,0,40,291,35.7908,21.9627,50.1756,4.9335,1,10,0,0,0,147,0,37,3,0,144,0,0
2569,TCAS3,Admission,C2800,E,วิศวกรรมศาสตร์ กำแพงแสน,E38,วิศวกรรมโยธา-โครงสร้างพื้นฐาน (ภาคพิเศษ),ภาคพิเศษ,219,219,22,0,30,189,34.1846,21.7357,45.0602,5.4018,1,10,0,0,0,104,0,22,7,0,85,1,0
2569,TCAS3,Admission,C2800,E,วิศวกรรมศาสตร์ กำแพงแสน,E39,วิศวกรรมนวัตกรรมเพื่อการเกษตรและอุตสาหกรรม,ภาคปกติ,43,43,17,0,19,24,30.836,21.9832,42.356,4.7907,1,10,0,0,0,24,0,17,1,0,0,0,1
2569,TCAS4,Direct Admission,D3100,E,วิศวกรรมศาสตร์ กำแพงแสน,E04,วิศวกรรมโยธา-ชลประทาน,ภาคปกติ,10,10,3,0,3,7,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,7,0,0
2569,TCAS4,Direct Admission,D3100,E,วิศวกรรมศาสตร์ กำแพงแสน,E37,วิศวกรรมเครื่องกล-เกษตร,ภาคปกติ,17,17,0,0,1,16,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,16,0,0
2569,TCAS4,Direct Admission,D3100,E,วิศวกรรมศาสตร์ กำแพงแสน,E38,วิศวกรรมโยธา-โครงสร้างพื้นฐาน,ภาคปกติ,129,129,0,0,3,126,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,126,0,0
2569,TCAS4,Direct Admission,D3100,E,วิศวกรรมศาสตร์ กำแพงแสน,E38,วิศวกรรมโยธา-โครงสร้างพื้นฐาน (ภาคพิเศษ),ภาคพิเศษ,38,38,5,0,7,31,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,5,0,0,31,1,0
2569,TCAS4,Direct Admission,D3100,E,วิศวกรรมศาสตร์ กำแพงแสน,E39,วิศวกรรมนวัตกรรมเพื่อการเกษตรและอุตสาหกรรม,ภาคปกติ,1,1,1,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
